,Unnamed: 0,STATE,DISTRICT,Storage name,Address,Manager Name,capacity,Longitude,Latitude
236,236,Andhra Pradesh,Guntur,"G. Seetharamaiah , S/O Satyanarayana","Door No. 4-118, Gayatri Nagar , Kollur Post , Kollur Mandal",,285.0,,
237,237,Andhra Pradesh,Guntur,G.S.R. Cold Storage Pvt Ltd,CHPETA ROAD LAALAPURAM PANVHAITI,Sriharirao,10000.0,82.0031455,16.5774798
238,238,Andhra Pradesh,Guntur,G.V.A.Narasimha Raju,"Karlapalem Vilage, Bapatla",,4769.62,80.4671375,15.9039445
239,239,Andhra Pradesh,Guntur,G.V.R Cold Storage,"NEW AMC YARD, DUGGIRALA",Surendrareddy,0.0,80.6271912,16.3273225
240,240,Andhra Pradesh,Guntur,G.Vijaya Kumar Varma,"Karlapalem Vilage, Bapatla",,4769.62,80.4671375,15.9039445
241,241,Andhra Pradesh,Guntur,GSR Cold Storage,Ankireddy Palam,,4098.83,,
242,242,Andhra Pradesh,Guntur,GUNTUR,,M. Usha Rani,27920.0,,
243,243,Andhra Pradesh,Guntur,Gaddipati Lakshminarayana,Munipalle/Guntur,,119.0,80.5407645,16.1270527
244,244,Andhra Pradesh,Guntur,Gajula Venkateswarlu,"D.No.507-1, 3&576-3, Arumbaka Sivaru, Cherukapalle Mandal, Guntur Dist.",,318.0,80.0087746,16.3905692
245,245,Andhra Pradesh,Guntur,Ganapthi Cold Storage,MIRCHI YARD,Dhapul,3000.0,,
246,246,Andhra Pradesh,Guntur,"Gara Srinivasa Rao,S/O Bangaraiah","Survey No.62/1, Ward No.5, Vaddimukkala Village, Post Ponnur Mandal, Guntur 522 124",,157.0,80.4365402,16.3066525
247,247,Andhra Pradesh,Guntur,Giridhar Cold Storage,NEAR MIRCHI YARD,T Snehalatha,3000.0,,
248,248,Andhra Pradesh,Guntur,Govada Venkatappaiah,"R.S. No. 161/1, Mulukuduru Village And Post, Ponnur Mandal",,291.0,,
249,249,Andhra Pradesh,Guntur,"Gudibandi Sambi Reddy, S/O Subba Reddy","Gudibandivaripalem Of Kollipara Village, Kollipara Mandal",,140.0,77.3410569,16.850763
250,250,Andhra Pradesh,Guntur,"Gudibandi Subba Reddy, W/O Nagi Reddy","Gudibandivaripalem To Kollipara , Kollipara Road, 1st Ward, Gudibandivaripalem Hamlet, Kollipara Village And Mandal, Guntur",,200.0,80.4365402,16.3066525
251,251,Andhra Pradesh,Guntur,Guntur Cold Storage,"SUBBAREDDY NAGAR ANKIREDDY PALEM, NEAR CHECK POST",Suvaprasad,3250.0,,
252,252,Andhra Pradesh,Guntur,Guntur Cold Storage,"SUBBAREDDY NAGAR,ANKIREDDY PALEM",Ramesh,2833.0,80.3923079,16.2876751
253,253,Andhra Pradesh,Guntur,Hari Prasad Rural Godown ( Yaralagadda Harivara Prasad Rao ),"Narasayapalem Village, Baptala Mandal",,126.0,80.4681844,15.9040102
254,254,Andhra Pradesh,Guntur,Himagiri Cold Storage,NALLAPADU ROAD,Srimanrayanaa,3500.0,80.3939109,16.3063385
255,255,Andhra Pradesh,Guntur,Icv City Cold Storage,VINUKONDAM,Srikanth,0.0,79.7405355,16.0498456
256,256,Andhra Pradesh,Guntur,Inkollu Vara Prasada Rao,"D.No.209/4, Village & Mandal : Nagaram",,471.0,,
257,257,Andhra Pradesh,Guntur,Inkollu Venkateswara Rao,"D.No.209/4, Village & Mandal : Nagaram",,420.0,,
258,258,Andhra Pradesh,Guntur,Ipur,Ippur And Vellatur,,3000.0,78.6654033,14.4507713
259,259,Andhra Pradesh,Guntur,Issac Rural Godown ( Dasi Issac ),"Narasayapalem Village, Baptala Mandal",,184.0,80.4681844,15.9040102
260,260,Andhra Pradesh,Guntur,J Balagandhi Raju,Nadikudi,,4769.62,79.7068596,16.5879495
261,261,Andhra Pradesh,Guntur,J Padmavati,Nadikudi,,4769.62,79.7068596,16.5879495
262,262,Andhra Pradesh,Guntur,Jagadamba Cold Storage,ANKIREDDY PALEM NH-5,T Naresh,0.0,83.9275643,18.3159269
263,263,Andhra Pradesh,Guntur,Jai Balaji Cold Storage,Kubadpuram,,7181.0,79.9626354,16.4683884
264,264,Andhra Pradesh,Guntur,Jaibalaji Cold Storage Pvt Ltd,GUNTUR ROAD KOTANEMALIPURI VILAGE RAJUPALEM MANDAL,K.Rameshbabu,4000.0,79.9296871,16.4532676
265,265,Andhra Pradesh,Guntur,Jampani Bala Tripura Sundari Devi & Jampani Ram Mohan Rao,"R.S.No. 58-8, Mulukuduru Village, Ponnur Mandalam, Guntur District",,184.285,80.0087746,16.3905692
266,266,Andhra Pradesh,Guntur,Janataseva Cold Storage,"LALPURAM, ANKI REDDY PALLM, NH-5",Ramirrddy,0.0,77.1031998,31.0306204
267,267,Andhra Pradesh,Guntur,Jayalakshmi Cold Storages,"AGRICULTURAL MARKET YARD PREMISES, NALLAPADU ROAD",P Srinivas,2744.0,80.3939109,16.3063385
268,268,Andhra Pradesh,Guntur,Jeevanasri Cold Storage Pvt Ltd,JONNALAGADDA GRAMAMNARASA RAO PETA,Nagaraju,0.0,80.4576835,16.3736337
269,269,Andhra Pradesh,Guntur,"Jonnala Usha Jyothi , W/O Brahmananda Reddy","R&B Road From Kollipara To Gudibandivaripalem Road, 2nd Ward, Kollipara Village And Mandal",,200.0,80.749466,16.2872181
270,270,Andhra Pradesh,Guntur,JyothiswaroopaColddivison Pvt Ltd,NH5DNO9-134 ANKI REDDY PALEM,Venkatreddy,6300.0,80.2091128,15.9060837
271,271,Andhra Pradesh,Guntur,K. Somaiah,"Kondrupadu Village, Parthipadu Mandal",,9539.0,82.1917781,17.2294723
272,272,Andhra Pradesh,Guntur,K.S.R. Cold Storages Pvt Ltd,AMBAPURAM VILAGE DACHEPALLY MANDAL,Ch.Mastannaidu,5400.0,,
273,273,Andhra Pradesh,Guntur,K.Venkateswara Sarma & K.Lakshmi Prasannam,"Ananthavaram Village, Kolluru Mandal",,296.87,74.8104053,13.8631865
274,274,Andhra Pradesh,Guntur,Kalpana Rural Godown ( Jetti Kalpana Devi ),"Narasayapalem Village, Baptala Mandal",,124.0,80.4681844,15.9040102
275,275,Andhra Pradesh,Guntur,Kamadhenu Cold Storage,"DNO21864 DUDIPEERPANJA ST, CHOWTRA",Sivareddy,3824.0,,
276,276,Andhra Pradesh,Guntur,Kanipaka Vigneswara Cold Storage,Boppudi,,4859.4,80.1372757,16.0651147
277,277,Andhra Pradesh,Guntur,Kanipakavigneswara Cold Storage,NH-5 BOPUDI CHILAKALURIPET,Haribabu,6000.0,80.1655471,16.0944603
278,278,Andhra Pradesh,Guntur,Karampudi Cold Storage,Petasannegandla,,5513.0,79.7568107,16.4191158
279,279,Andhra Pradesh,Guntur,Karempudi Cold Storage Pvt Ltd,"JULLAKOL ROAD, PETASANNI GANDLAKARAMPUDI",Mallikarjunrao,4800.0,79.7568107,16.4191158
280,280,Andhra Pradesh,Guntur,Kaveri,GT ROAD,Arun,2000.0,74.2390965,31.8847743
281,281,Andhra Pradesh,Guntur,Kaveri Cold Storage,"MILK DAIRY ROAD , RAHAMATH NAGAR, HINDUPUR, , ANAN",Kiran Rao,420.0,,
282,282,Andhra Pradesh,Guntur,Kaveri Multi Purpose,NH 5 MARCHI YARD,Arun,3000.0,77.1031998,31.0306204
283,283,Andhra Pradesh,Guntur,Kolla Hanumayamma W/O Kolla Nageswara Rao,"Opposite Z.P. High School, Kakumanu Village And Mandal, Guntur District",,300.0,80.0087746,16.3905692
284,284,Andhra Pradesh,Guntur,Kommineni Cold Storage,NH5 DN O5-72 ANKIREDDY PALEM,Swamydhar,4000.0,83.9275643,18.3159269
